 written on 15Apr2025 at 13:40:09 
  -2.7218511831824337        0.0000000000000000        2.7218511831824337     
   0.0000000000000000        2.7218511831824337        2.7218511831824337     
  -2.7218511831824337        2.7218511831824337        0.0000000000000000     
           8
         279
    3    2    2    3    2    3    6    2    2    2    1    2    2    1    1
    2    2    1    1    1    2    2    1    1    1    1    2    6    2    2
    2    2    2    6    2    2    3    1    1    1    3    2    1    1    1
    1    2    3    1    1    1    1    1    3    1    1    1    1    1    1
    2    1    1    1    1    1    2    2    1    1    1    1    2    3    2
    3    2    1    2    2    1    1    1    1    2    2    1    1    1    1
    1    2    1    1    1    1    1    1    2    1    1    1    1    1    2
    1    1    1    1    1    1    2    1    1    1    2    2    2    3    2
    1    1    2    3    1    1    1    1    1    3    1    1    1    1    1
    1    2    1    1    1    1    1    2    1    1    1    1    1    1    3
    1    1    1    1    1    3    2    1    1    2    3    2    2    2    1
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    2    1    1    1    1    1    1    2    1    1    1    1    1    2    2
    1    1    1    1    2    2    1    2    3    2    3    2    1    1    1
    1    2    2    1    1    1    1    1    2    1    1    1    1    1    1
    3    1    1    1    1    1    3    2    1    1    1    1    2    3    1
    1    1    3    2    2    6    2    2    2    2    2    6    2    1    1
    1    1    2    2    1    1    1    2    2    1    1    2    2    1    2
    2    2    6    3    2    3    2    2    3

   -4    0    2
    1    1    0.24672032E-02  0.28668110E-10
    2    1    0.41552974E-02  0.26838740E-10
    3    1    0.43074453E-02  0.39076647E-10
    4    1    0.44595931E-02 -0.13412870E-09
    5    1    0.71320112E-03  0.55386665E-09
    6    1   -0.87209148E-03  0.23180356E-09
    7    1   -0.84166619E-02 -0.66473295E-10
    8    1   -0.84061568E-02 -0.40131266E-10
    1    2   -0.69640092E-02 -0.15305363E-09
    2    2   -0.29120632E-02 -0.60729033E-10
    3    2    0.26376811E-02  0.87097092E-11
    4    2    0.27797354E-02 -0.20423951E-09
    5    2    0.44711125E-02  0.17236809E-09
    6    2    0.58753768E-02 -0.66853489E-10
    7    2   -0.96732353E-02  0.73263150E-10
    8    2   -0.96437125E-02  0.42333915E-09
    1    3   -0.71151847E-02 -0.22525998E-09
    2    3    0.27218205E-02  0.37395920E-11
    3    3   -0.29047384E-02  0.34842285E-10
    4    3    0.26135140E-02 -0.15485498E-09
    5    3    0.54549841E-02 -0.31864138E-11
    6    3    0.49978296E-03 -0.14622316E-09
    7    3   -0.95063140E-03  0.22016259E-09
    8    3    0.65968782E-02  0.27064608E-09
    1    4   -0.72663601E-02 -0.43562975E-09
    2    4    0.25555990E-02  0.94528873E-10
    3    4    0.26976533E-02  0.13053402E-09
    4    4   -0.28974136E-02 -0.29115568E-10
    5    4    0.54715962E-02  0.92998832E-09
