2025/05/08 at 10:33:05
   3.3200048889728007        0.0000000000000000        0.0000000000000000     
  -1.6600024444864003        2.8752085745389802        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        26.560039111782405     
          11
          85
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1

    0    0    0
    1    1    0.94111506E+00  0.89972552E-18
    2    1    0.66712039E-15 -0.22298824E-15
    3    1   -0.13184802E-15  0.12554039E-15
    4    1    0.12477801E-14 -0.26659659E-15
    5    1   -0.82911411E-16 -0.33794826E-15
    6    1    0.10130582E+01 -0.14384858E-12
    7    1   -0.11210351E+01  0.56226952E-13
    8    1    0.97059882E+00 -0.80772410E-13
    9    1    0.10130582E+01 -0.14688474E-12
   10    1    0.11210351E+01 -0.58569730E-13
   11    1   -0.97059882E+00  0.82778930E-13
    1    2    0.64314519E-15  0.20734028E-15
    2    2    0.94112325E+00 -0.28434531E-17
    3    2    0.79362493E-16  0.60568034E-16
    4    2   -0.22829349E-15  0.42825361E-15
    5    2   -0.23224943E-15 -0.32076495E-16
    6    2   -0.58488875E+00  0.10023211E-12
    7    2    0.97059887E+00 -0.80349552E-13
    8    2   -0.28366809E-03 -0.12069621E-13
    9    2   -0.58488875E+00  0.91426560E-13
   10    2   -0.97059887E+00  0.82418298E-13
   11    2    0.28366809E-03 -0.55453438E-14
    1    3   -0.13184802E-15 -0.12554039E-15
    2    3    0.79362493E-16 -0.60568034E-16
    3    3   -0.18608306E+00 -0.16108241E-16
    4    3   -0.97930972E-15 -0.89522123E-15
    5    3    0.16003063E-14  0.51024771E-17
    6    3    0.59560325E+00 -0.52397549E-13
    7    3   -0.69285384E+00  0.80222174E-13
    8    3   -0.21289039E+00  0.13568456E-13
    9    3   -0.59560325E+00  0.47890132E-13
   10    3   -0.69285384E+00  0.79173188E-13
   11    3   -0.21289039E+00  0.19134370E-13
    1    4    0.12477801E-14  0.26659659E-15
    2    4   -0.22829349E-15 -0.42825361E-15
    3    4   -0.88459052E-15  0.89412608E-15
    4    4   -0.34826626E+00 -0.77911876E-17
    5    4    0.62100909E-05 -0.52527746E-14
    6    4    0.65374782E+00 -0.60523721E-13
    7    4    0.59117195E+00 -0.63902747E-14
    8    4   -0.34131366E+00 -0.14182832E-13
    9    4   -0.65374782E+00  0.55891596E-13
   10    4    0.59117195E+00 -0.60187389E-14
   11    4   -0.34131366E+00 -0.10814992E-13
    1    5   -0.82911411E-16  0.33794826E-15
    2    5   -0.23224943E-15  0.32076495E-16
    3    5    0.15997384E-14  0.18782892E-17
    4    5    0.62100909E-05  0.52535145E-14
    5    5   -0.18608524E+00  0.40686064E-18
    6    5   -0.34387339E+00  0.32533598E-13
    7    5   -0.21288825E+00  0.20175033E-13
    8    5   -0.93867929E+00  0.94285558E-13
    9    5    0.34387339E+00 -0.29916850E-13
   10    5   -0.21288825E+00  0.17447938E-13
   11    5   -0.93867929E+00  0.93286515E-13
    1    6    0.10130582E+01  0.14384964E-12
    2    6   -0.58488875E+00 -0.10023275E-12
    3    6    0.59560325E+00  0.52397144E-13
    4    6    0.65374782E+00  0.59553043E-13
    5    6   -0.34387339E+00 -0.32534866E-13
    6    6   -0.29816966E+01  0.19063235E-17
    7    6   -0.17994360E-14  0.27777456E-15
    8    6   -0.93670866E-06  0.84119008E-14
    9    6    0.12887433E+01 -0.49420184E-15
   10    6   -0.11742987E-15  0.25873418E-14
   11    6   -0.10476373E-06  0.13436706E-13
    1    7   -0.11210351E+01 -0.56227288E-13
    2    7    0.97059887E+00  0.81330575E-13
    3    7   -0.69285384E+00 -0.80223906E-13
    4    7    0.59117195E+00  0.63874786E-14
    5    7   -0.21288825E+00 -0.20175538E-13
    6    7   -0.18007337E-14 -0.27674714E-15
    7    7   -0.25441554E+01  0.37863563E-17
    8    7   -0.30393811E-15  0.73125124E-15
    9    7    0.12867816E-16  0.85666514E-15
   10    7   -0.40541369E+00  0.76911412E-16
   11    7   -0.10978428E-14 -0.37398388E-15
    1    8    0.97059882E+00  0.80777233E-13
    2    8   -0.28366809E-03  0.12069916E-13
    3    8   -0.21289039E+00 -0.13570083E-13
    4    8   -0.34131366E+00  0.14183272E-13
    5    8   -0.93867929E+00 -0.94285700E-13
    6    8   -0.93670866E-06 -0.74248510E-14
    7    8   -0.30326685E-15 -0.17060449E-14
    8    8   -0.25441569E+01 -0.80831733E-18
    9    8    0.10476373E-06  0.15838282E-13
   10    8   -0.14415754E-14  0.27415438E-15
   11    8   -0.40541397E+00 -0.33155359E-15
    1    9    0.10130582E+01  0.14786137E-12
    2    9   -0.58488875E+00 -0.90453040E-13
    3    9   -0.59560325E+00 -0.47901073E-13
    4    9   -0.65374782E+00 -0.55893084E-13
    5    9    0.34387339E+00  0.29915888E-13
    6    9    0.12887433E+01  0.49372177E-15
    7    9    0.97819192E-15  0.21582831E-15
    8    9    0.10476373E-06 -0.15837758E-13
    9    9   -0.29816966E+01 -0.12743754E-17
   10    9    0.24452974E-15 -0.33010936E-15
   11    9    0.93670866E-06 -0.44886513E-14
    1   10    0.11210351E+01  0.59548824E-13
    2   10   -0.97059887E+00 -0.81440111E-13
    3   10   -0.69285384E+00 -0.79173850E-13
    4   10    0.59117195E+00  0.59206693E-14
    5   10   -0.21288825E+00 -0.17448674E-13
    6   10   -0.11369820E-15 -0.25869998E-14
    7   10   -0.40541369E+00 -0.78959142E-16
    8   10   -0.14400269E-14 -0.27031987E-15
    9   10    0.24474517E-15  0.23190068E-15
   10   10   -0.25441554E+01  0.21389708E-17
   11   10   -0.22173901E-14  0.17290162E-14
    1   11   -0.97059882E+00 -0.82784419E-13
    2   11    0.28366809E-03  0.55449722E-14
    3   11   -0.21289039E+00 -0.18156013E-13
    4   11   -0.34131366E+00  0.10815130E-13
    5   11   -0.93867929E+00 -0.93286312E-13
    6   11   -0.10476373E-06 -0.13436563E-13
    7   11   -0.11952600E-14  0.50066186E-15
    8   11   -0.40541397E+00  0.33301285E-15
    9   11    0.93670866E-06  0.44885954E-14
   10   11   -0.22163330E-14 -0.17258099E-14
   11   11   -0.25441569E+01  0.23039558E-17

    0    1    0
    1    1   -0.70280191E-01  0.23512594E-13
    2    1    0.27294513E+00 -0.10652533E-14
    3    1   -0.59884635E-16  0.15374602E-15
    4    1    0.38233563E-15  0.78356812E-16
    5    1   -0.46383045E-15 -0.12364508E-14
    6    1   -0.64977511E-01  0.46200554E-13
    7    1   -0.46006565E-01  0.19484290E-13
    8    1    0.10300524E+00 -0.28109061E-14
    9    1   -0.64977511E-01  0.47375865E-13
   10    1    0.46006565E-01 -0.21662884E-13
   11    1   -0.10300524E+00  0.26104375E-14
    1    2   -0.15668050E+00 -0.16740652E-13
    2    2   -0.13740506E+00 -0.11700370E-13
    3    2    0.47907067E-15 -0.17087097E-15
    4    2    0.33029443E-15  0.36550032E-15
    5    2   -0.63764473E-15  0.45716400E-15
    6    2   -0.56182202E-02 -0.33482307E-13
    7    2   -0.22823932E-01  0.99624055E-14
    8    2   -0.10457536E-01 -0.52433351E-14
    9    2   -0.56182202E-02 -0.36455311E-13
   10    2    0.22823932E-01 -0.12841515E-13
   11    2    0.10457536E-01 -0.34172084E-14
    1    3   -0.65167989E-15 -0.46435259E-15
    2    3    0.17784466E-16  0.13732802E-15
    3    3   -0.41919601E+00 -0.20566418E-13
    4    3   -0.36155196E+00 -0.78545250E-14
    5    3   -0.22273135E+00 -0.21239383E-13
    6    3   -0.80563253E-01  0.15938966E-13
    7    3    0.65290626E-01 -0.39329538E-13
    8    3   -0.32808949E-01  0.96627429E-14
    9    3    0.80563253E-01 -0.19214979E-13
   10    3    0.65290626E-01 -0.43502792E-13
   11    3   -0.32808949E-01  0.82846242E-14
    1    4   -0.66863851E-15  0.67282500E-15
    2    4    0.17601268E-14 -0.20887154E-15
    3    4   -0.56440533E+00 -0.18573445E-13
    4    4   -0.37761183E+00 -0.25765320E-14
    5    4   -0.91624336E-01  0.17693949E-13
    6    4   -0.62470687E-01  0.45383056E-14
    7    4    0.44939139E-01  0.11037764E-13
    8    4   -0.16892686E-01  0.14931273E-14
    9    4    0.62470687E-01  0.40513736E-14
   10    4    0.44939139E-01  0.93642375E-14
   11    4   -0.16892686E-01 -0.16438134E-14
    1    5    0.23751416E-15 -0.22408635E-15
    2    5   -0.16882059E-15  0.14871016E-15
    3    5   -0.71067464E+00 -0.24529084E-13
    4    5   -0.44297659E+00  0.18339589E-13
    5    5    0.11970685E+00  0.18976991E-13
    6    5   -0.57380100E-01  0.73325377E-14
    7    5    0.37721777E-01  0.37164975E-14
    8    5    0.32586720E-02 -0.11838110E-13
    9    5    0.57380100E-01 -0.12824183E-13
   10    5    0.37721777E-01  0.77816848E-14
   11    5    0.32586720E-02 -0.19824193E-13
    1    6    0.12146064E-14 -0.69992889E-14
    2    6    0.11697788E+01  0.16368649E-12
    3    6    0.27944124E-13  0.12474299E-13
    4    6    0.65374765E+00  0.70447290E-13
    5    6    0.68774324E+00  0.52213198E-13
    6    6   -0.28795817E+00  0.45601581E-13
    7    6    0.10956629E+00  0.35237460E-13
    8    6   -0.33954593E-01 -0.33118199E-13
    9    6    0.14747892E-01 -0.18067163E-13
   10    6    0.35005371E-01  0.12649699E-13
   11    6   -0.14322255E+00 -0.14165384E-14
    1    7    0.56009181E+00  0.69890563E-13
    2    7   -0.14412737E-12  0.67035375E-14
    3    7   -0.10615906E+01 -0.11364826E-12
    4    7   -0.27358645E-13  0.72388652E-14
    5    7   -0.59172091E-15  0.20252462E-14
    6    7    0.25377297E-01  0.10363980E-13
    7    7    0.23689824E+00 -0.40379586E-14
    8    7   -0.42872584E+00 -0.44358170E-14
    9    7    0.10653211E+00  0.92164714E-14
   10    7    0.96940256E-01  0.57148096E-14
   11    7    0.49394288E-01 -0.43565229E-14
    1    8    0.95069266E-13  0.20082295E-13
    2    8   -0.16814109E+01 -0.69453475E-13
    3    8   -0.91251112E-14  0.89015685E-15
    4    8    0.68262835E+00  0.91777082E-14
    5    8   -0.56994087E+00 -0.15227827E-13
    6    8    0.11186440E+00 -0.58114291E-13
    7    8   -0.62297523E+00  0.74182753E-14
    8    8    0.84409762E+00 -0.32361755E-15
